body,Positive Psychology,PP: Gratitude,PP: Optimism,PP: Strengths,PP: Meaning,PP: Positive Reappraisal,PP: Humor,PP: General Education,Physical Activity,Diet,Directive,Social
"If you're hungry when you go to the grocery store, you're more likely to choose comfort foods over healthy items. Try having a small snack before you leave so you can make better, healthier choices!",0,0,0,0,0,0,0,0,0,1,1,0
"Sometimes when we're bored, our bodies can mistake that feeling for hunger. If this is a problem for you, try talking a walk or chatting with a friend instead. If the hunger persists, try a small healthy snack!",0,0,0,0,0,0,0,0,0,1,1,0
"Healthy habits can feel like a chore, especially if you're trying to fit them into an already busy schedule. Set aside small portions of baby carrots or trail mix that you can easily grab on the go!",0,0,0,0,0,0,0,0,0,1,1,0
"You might be surprised to learn how unhealthy some beverages can be. Next time you're thirsty, try water, unsweetened tea, or another low-sugar option instead of soda or beer.",0,0,0,0,0,0,0,0,0,1,1,0
"Changing your diet can be really difficult! If you find yourself struggling, try to identify possible triggers for unhealthy habits (e.g., eating more when you are bored). Once you've identified these triggers, brainstorm how you can avoid them!",0,0,0,0,0,0,0,0,0,1,1,0
"Increasing physical activity can be very difficult, especially if you struggle with pain or fatigue. Start with a low-impact exercise like walking with a friend or doing yoga instead of a vigorous high-impact activity like running.",0,0,0,0,0,0,0,0,1,0,0,1
"Casual snacking can be unhealthy when we lose track of the amount of food we are eating. Instead of snacking at the same time as you are working or watching TV, try to eat a healthy snack when you are not distracted and can be more conscious about your portion control.",0,0,0,0,0,0,0,0,0,1,1,0
"Sometimes the foods we love the most are detrimental to our health. If you have a favorite dish that has unheatlhy ingredients, try exploring what healthier ingredients you can use as substitutes rather than avoiding the dish altogether!",0,0,0,0,0,0,0,0,0,1,1,0
"Coping with stress can be very difficult. Sometimes, we tend to use food to try to improve our mood. If you know you do this, make sure you have healthy choices on hand like fruits and vegetables and explore other ways to reduce stress!",0,0,0,0,0,0,0,0,0,1,1,0
It can be hard to stick to a healthy diet if your friends or family members are not doing the same. Try letting your friends and family members know about your health eating goals and encourage them to eat healthy with you!,0,0,0,0,0,0,0,0,0,1,1,1
"Negative thoughts can be a barrier to positive change in your life. When you're feeling down, try to identify negative thoughts and conciously replace them with encouragements or positive thoughts. Slowly, you'll get in the habit of positivity!",1,0,0,0,0,1,0,0,0,0,1,0
"When setting goals, remember that it can be easy to make excuses and slide back into old habits. If you plan to go for a walk three days this week, but it rains every day, have an alternative plan like using a treadmill or walking around an indoor mall.",0,0,0,0,0,0,0,0,1,0,0,0
"When making changes to your diet, it can be easy to become frustrated if you assume that you can never enjoy your favorite foods again. Try to avoid this kind of black-or-white thinking and remember that almost any food is ok for you in moderation!",0,0,0,0,0,0,0,0,0,1,1,0
"It's natural to try to compare yourself to others, but this is not always helpful. If you're feeling discouraged about your health compared to those around you, just focus on the many positive changes you've already made in your life!",1,0,0,0,0,1,0,0,0,0,1,0
Tracking what you eat every day is a great way to be more aware of your diet. Try keeping a food diary so you can see where you are doing well and where you can make improvements.,0,0,0,0,0,0,0,0,0,1,1,0
"Tracking what you eat every day is a great way to be more aware of your diet. If you like using phone apps, try MyFitnessPal or other similar apps that allow you to track your daily calories in an easy and quick way!",0,0,0,0,0,0,0,0,0,1,1,0
"Food packaging often has a lot of helpful information. First, look at the serving size; often, one serving is only a portion of the package and not the whole thing. Next, focus on the calories and carbohydrates per serving and note these in your food diary!",0,0,0,0,0,0,0,0,0,1,1,0
"It is always helpful to check the nutrition label on snacks and meals. While high amounts of fiber, protein, and vitamins are beneficial, you want to make sure that you are limiting your intake of carbohydrates, fat, and sodium.",0,0,0,0,0,0,0,0,0,1,0,0
"Keeping track of your food can feel like a time-consuming chore with your busy schedule. Try keeping a piece of paper or a phone app on hand to make tracking faster after each meal. Alternatively, you can take a picture of your meal before you eat so you can record it later!",0,0,0,0,0,0,0,0,0,1,1,0
"Keeping track of your food can feel like a time-consuming chore, especially when you have to make note of your food several times per day. Try setting reminders on your phone or watch; soon, it will just feel like a normal part of your regular routine!",0,0,0,0,0,0,0,0,0,1,1,0
"Getting started with a new exercise routine can feel really intimindating! Try starting with short, low-intensity exercises such as taking a walk around the block. Then, work up gradually in intensity as you feel yourself getting stronger!",0,0,0,0,0,0,0,0,1,0,1,0
Setting goals can be really helpful in establishing a new routine. Try setting exercise goals for yourself based on your own personal fitness level. Your goals should be challenging yet realistic so you don't get discouraged!,0,0,0,0,0,0,0,0,1,0,1,0
"You don't need fancy machines or weights to build your muscles. Try strength training with body weight exercises like squats, push-ups, or lunges in the comfort of your own home!",0,0,0,0,0,0,0,0,1,0,1,0
"Fitting exercise into your busy day can be a challenge! There are often simple changes that you can try that will make a big difference. For example, try waking up just 30 minutes earlier or leaving a few minutes after dinner to fit in a walk.",0,0,0,0,0,0,0,0,1,0,0,0
"A simple way to add exercise into your schedule is to walk or bike places instead of driving. If it's possible, try walking or biking to work or when doing errands to increase your daily physical activity!",0,0,0,0,0,0,0,0,1,0,1,0
Most of us spend more time analyzing bad events rather than savoring and appreciating positive events. Focusing on the positive is a skill that takes time and practice. Try to reflect on three positive moments from your day today!,1,1,0,0,0,0,0,0,0,0,1,0
"Even during difficult times, it is often possible to recognize positive moments. Recognize and face your challenges today with determination but also try to note and appreciate the small, positive moments along the way!",1,1,0,0,0,0,0,0,0,0,1,0
"Take time today to reflect on one positive thing that has happened and think about how it made you feel. If you write it down, you may experience an even bigger boost of joy from the simple act of recording it!",1,1,0,0,0,0,0,0,0,0,1,0
"People often remember negative events more easily than positive events. Today, try to balance this out by purposefully focusing more on the good parts of your day rather than the negative parts!",1,1,0,0,0,0,0,0,0,0,1,0
"Focusing on bad events can help us learn from them and avoid similar situations in the future. However, don't forget to savor and appreciate the good events as well so you can have more of them in the future!",1,1,0,0,0,0,0,0,0,0,0,0
"It is common to spend more time focusing on our shortcomings rather than our strengths. Today, remind yourself of one of your personal strengths and brainstorm a way to use this personal strength in a new way this week!",1,0,0,1,0,0,0,0,0,0,1,0
"Having a sense of mastery or expertise over something can feel really good. Today, do something that you are good at to remind yourself of your abilities!",1,0,0,1,0,0,0,0,0,0,1,0
"Reflecting on personal strengths can help you realize just how remarkable your abilities are. Today, try using a talent or strength that you haven't thought about in awhile!",1,0,0,1,0,0,0,0,0,0,1,0
"Using our unique personal strengths can boost self-esteem, increase energy, reduce stress, and increase feelings of productivity. Use a personal strength today to give youreself a boost of energy!",1,0,0,1,0,0,0,0,0,0,1,0
We often don't give ourselves enough credit for our skills and expertise. Spending more time thinking about your strengths can help you remember to give yourself the credit you deserve!,1,0,0,1,0,0,0,0,0,0,0,0
A personal strength is a quality that feels genuine to who you are as a person. Identify a personal strength and use it today to put yourself back in touch with who you feel you truly are.,1,0,0,1,0,0,0,0,0,0,1,0
"Choose and use one of your many personal strengths today! Possibilities include curiosity, love of learning, bravery, persistence, honesty, love, or teamwork.",1,0,0,1,0,0,0,0,0,0,1,0
"Choose and use one of your many personal strengths today! Possibilities include fairness, leadership, humility, self-control, appreciation of beauty and excellence, humor, or spirituality.",1,0,0,1,0,0,0,0,0,0,1,0
"The more you can use your personal strengths in new or different ways, the greater the boost of happiness or confidence you might get in return!",1,0,0,1,0,0,0,0,0,0,0,0
Research shows that life satisfaction depends less on actual events and more on what we choose to pay attention to. Write down three things that you are grateful for today!,1,1,0,0,0,0,0,0,0,0,1,0
Writing a short thank you note to express your gratitude for another person's kindness can help remind you of how good people can be. Try it today!,1,1,0,0,0,0,0,0,0,0,1,1
Think back over the last several years and recall an instance when someone did something for you for which you are grateful. Consider writing a note or calling them to thank them today!,1,1,0,0,0,0,0,0,0,0,1,1
Think of someone who has been especially kind to you but who has never heard you fully express your gratitude. Consider thanking them today with an email or phone call!,1,1,0,0,0,0,0,0,0,0,1,1
"When something good happens today, try to capitalize on it by sharing what happened with loved ones, recording the event, or celebrating it in some way!",1,1,0,0,0,0,0,0,0,0,1,1
Celebrations don't have to be reserved only for major events. Try to celebrate something small today for which are grateful and see if it boosts your mood!,1,1,0,0,0,0,0,0,0,0,1,0
You can boost the enjoyment of something positive today by sharing what happened with a friend or a loved one. Sharing your joy can magnify it!,1,1,0,0,0,0,0,0,0,0,1,1
"Today, reflect on a past success. Think about how it felt to achieve your success and how you played a role in making it happen. Remembering past successes can boost confidence and motivate you to achieve more!",1,0,0,1,0,0,0,0,0,0,1,0
Remembering past successes is not always easy. Try reminding yourself of your capabilities and strenghts by visualizing a past success today!,1,0,0,1,0,0,0,0,0,0,1,0
Recalling a past success and identifying how you contribued to the achievement can help you understand how you can succeed again in the future. What past success can you use to motivate you today?,1,0,0,1,0,0,0,0,0,0,1,0
"Our personal strengths, past successes, and accomplishments are important aspects of our identity and our lives. Reflecting on these can boost mood and show us how we can achieve more success in the future!",1,0,0,1,0,0,0,0,0,0,0,0
"A past success can be large or small, public or private. Think of a success you've had in the past and the skills and qualities you used to make it happen. You can use these skills and qualities again to make a difference in your life!",1,0,0,1,0,0,0,0,0,0,1,0
"Today, think of a past success. How did you achieve it? How did it feel when you accomplished it? Most importantly, how can you use your strengths and skills again to achieve more success?",1,0,0,1,0,0,0,0,0,0,1,0
Thinking of a past success can remind you that you have the skills to be successful again in the future. Take a moment today to remember something you have accomplished and how that experience can help you achieven more!,1,0,0,1,0,0,0,0,0,0,1,0
"Research has shown that variety and novelty (newness) are important for leading a satisfying life. Today, do something totally new or try making an old activity new and interesting!",1,0,0,0,1,0,0,0,0,0,1,0
"Try to have a good mix of enjoyable and meaningful activities in your life. Can you do something that's either fun or meaningful today? What might you need more of today, enjoyment or meaning?",1,0,0,0,1,0,0,0,0,0,1,0
A great way to boost your mood is to engage in fun or meaningful activities. What can you do? Schedule in an activity on your calender for later today or this week if you can!,1,0,0,0,1,0,0,0,0,0,1,0
"Enjoyable activities can be done both alone and with others. If you've been doing more activities alone lately, try to do something fun with someone else today and vice versa!",1,0,0,0,1,0,0,0,0,0,1,1
